Assignment_ID,Employee_ID,Employee_Name,Position_ID,Position_Title,Department_ID,Department_Name,Business_Unit,Organizational_Unit_ID,Work_Location_ID,Cost_Center_ID,Manager_Employee_ID,Assignment_Start_Date,Assignment_End_Date,Assignment_Status,Assignment_Type,Assignment_Full_Time_Equivalent,Employment_Type,Data_As_Of_Date
ASSIGNMENT-0001,EMP001,Sonia Hassan,POS-001,HR Manager,DEPARTMENT-001,HR,Corporate Services,ORGANIZATIONAL-UNIT-HR,LOC-HQ,COST-CENTER-HR,EMP201,2026-05-01,,Current,Primary Assignment,1.0,Permanent,2026-08-01
ASSIGNMENT-0002,EMP002,Bilal Aziz,POS-002,Account Manager,DEPARTMENT-003,Sales,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-03,LOC-NORTH,COST-CENTER-SAL,EMP166,2023-10-01,,Current,Primary Assignment,1.0,Permanent,2026-08-01
ASSIGNMENT-0003,EMP003,Kamran Ali,POS-003,Financial Analyst,DEPARTMENT-002,Finance,Corporate Services,ORGANIZATIONAL-UNIT-FIN-TEAM-01,LOC-HQ,COST-CENTER-FIN,EMP230,2025-06-01,,Current,Primary Assignment,1.0,Permanent,2026-08-01
ASSIGNMENT-0004,EMP004,Ali Masood,POS-004,Financial Analyst,DEPARTMENT-002,Finance,Corporate Services,ORGANIZATIONAL-UNIT-FIN-TEAM-02,LOC-HQ,COST-CENTER-FIN,EMP231,2023-05-01,,Current,Primary Assignment,1.0,Permanent,2026-08-01
ASSIGNMENT-0005,EMP005,Farhan Shah,POS-005,Software Engineer I,DEPARTMENT-005,Engineering,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG-TEAM-03,LOC-HQ,COST-CENTER-ENG,EMP159,2026-02-01,,Current,Primary Assignment,1.0,Permanent,2026-08-01
ASSIGNMENT-0006,EMP006,Sehrish Tariq,POS-006,Software Engineer II,DEPARTMENT-005,Engineering,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG-TEAM-01,LOC-HQ,COST-CENTER-ENG,EMP195,2022-08-01,,Current,Primary Assignment,1.0,Permanent,2026-08-01
ASSIGNMENT-0007,EMP007,Sonia Ahmad,POS-007,Customer Support Representative,DEPARTMENT-004,Customer Support,Commercial Services,ORGANIZATIONAL-UNIT-CS-TEAM-02,LOC-CENTRAL,COST-CENTER-CS,EMP262,2023-10-01,,Current,Primary Assignment,1.0,Contract,2026-08-01
ASSIGNMENT-0008,EMP008,Iqra Bashir,POS-008,Finance Manager,DEPARTMENT-002,Finance,Corporate Services,ORGANIZATIONAL-UNIT-FIN,LOC-HQ,COST-CENTER-FIN,EMP227,2024-04-01,,Current,Primary Assignment,1.0,Permanent,2026-08-01
ASSIGNMENT-0009,EMP009,Hassan Dar,POS-009,Customer Support Manager,DEPARTMENT-004,Customer Support,Commercial Services,ORGANIZATIONAL-UNIT-CS,LOC-CENTRAL,COST-CENTER-CS,EMP259,2023-11-01,,Current,Primary Assignment,1.0,Permanent,2026-08-01
ASSIGNMENT-0010,EMP010,Salman Shah,POS-010,Senior Software Engineer,DEPARTMENT-005,Engineering,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG-TEAM-02,LOC-HQ,COST-CENTER-ENG,EMP129,2022-06-01,,Current,Primary Assignment,1.0,Permanent,2026-08-01
ASSIGNMENT-0011,EMP011,Khurram Iqbal,POS-011,Sales Manager,DEPARTMENT-003,Sales,Commercial Services,ORGANIZATIONAL-UNIT-SAL,LOC-NORTH,COST-CENTER-SAL,EMP252,2023-12-01,,Current,Primary Assignment,1.0,Permanent,2026-08-01
ASSIGNMENT-0012,EMP012,Danish Masood,POS-012,HR Manager,DEPARTMENT-001,HR,Corporate Services,ORGANIZATIONAL-UNIT-HR,LOC-HQ,COST-CENTER-HR,EMP201,2024-06-01,,Current,Primary Assignment,1.0,Permanent,2026-08-01
