Employee_ID,Employee_Name,Department,Position_ID,Attendance_Period,Scheduled_Working_Days,Present_Days,Approved_Leave_Days,Absent_Days,Unapproved_Absent_Days,Late_Arrivals,Overtime_Hours_Last_30D,Attendance_Percentage,Punctuality_Percentage,Attendance_Score,Attendance_Status,Department_ID,Business_Unit,Organizational_Unit_ID,Work_Location_ID,Cost_Center_ID,Data_As_Of_Date
EMP001,Sonia Hassan,HR,POS-001,Last 90 Days,65,63,2,0,0,5,4,100.0,92.1,98.0,Excellent,DEPARTMENT-001,Corporate Services,ORGANIZATIONAL-UNIT-HR,LOC-HQ,COST-CENTER-HR,2026-08-01
EMP002,Bilal Aziz,Sales,POS-002,Last 90 Days,65,61,4,0,0,7,8,100.0,88.5,97.1,Excellent,DEPARTMENT-003,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-03,LOC-NORTH,COST-CENTER-SAL,2026-08-01
EMP003,Kamran Ali,Finance,POS-003,Last 90 Days,65,62,1,2,0,0,0,96.9,100.0,97.7,Excellent,DEPARTMENT-002,Corporate Services,ORGANIZATIONAL-UNIT-FIN-TEAM-01,LOC-HQ,COST-CENTER-FIN,2026-08-01
EMP004,Ali Masood,Finance,POS-004,Last 90 Days,65,62,1,2,0,3,32,96.9,95.2,96.4,Excellent,DEPARTMENT-002,Corporate Services,ORGANIZATIONAL-UNIT-FIN-TEAM-02,LOC-HQ,COST-CENTER-FIN,2026-08-01
EMP005,Farhan Shah,Engineering,POS-005,Last 90 Days,65,60,4,1,1,1,14,98.4,98.3,95.4,Excellent,DEPARTMENT-005,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG-TEAM-03,LOC-HQ,COST-CENTER-ENG,2026-08-01
EMP006,Sehrish Tariq,Engineering,POS-006,Last 90 Days,65,63,0,2,0,3,33,96.9,95.2,96.5,Excellent,DEPARTMENT-005,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG-TEAM-01,LOC-HQ,COST-CENTER-ENG,2026-08-01
EMP007,Sonia Ahmad,Customer Support,POS-007,Last 90 Days,65,62,3,0,0,2,22,100.0,96.8,99.2,Excellent,DEPARTMENT-004,Commercial Services,ORGANIZATIONAL-UNIT-CS-TEAM-02,LOC-CENTRAL,COST-CENTER-CS,2026-08-01
EMP008,Iqra Bashir,Finance,POS-008,Last 90 Days,65,61,4,0,0,3,13,100.0,95.1,98.8,Excellent,DEPARTMENT-002,Corporate Services,ORGANIZATIONAL-UNIT-FIN,LOC-HQ,COST-CENTER-FIN,2026-08-01
EMP009,Hassan Dar,Customer Support,POS-009,Last 90 Days,65,65,0,0,0,4,25,100.0,93.8,98.5,Excellent,DEPARTMENT-004,Commercial Services,ORGANIZATIONAL-UNIT-CS,LOC-CENTRAL,COST-CENTER-CS,2026-08-01
EMP010,Salman Shah,Engineering,POS-010,Last 90 Days,65,61,3,1,0,5,22,98.4,91.8,96.7,Excellent,DEPARTMENT-005,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG-TEAM-02,LOC-HQ,COST-CENTER-ENG,2026-08-01
