Employee_ID,Employee_Name,Department,Position_ID,Designation,Job_Level,Tenure_Months,Years_in_Company,Total_Experience_Years,Relevant_Experience_Years,Years_in_Current_Role,Projects_Completed,High_Impact_Projects,Previous_Same_Role,Previous_Department_Experience,Leadership_Experience_Years,Cross_Functional_Projects,Project_Success_Rate_pct,Experience_Score,Department_ID,Business_Unit,Organizational_Unit_ID,Work_Location_ID,Cost_Center_ID,Data_As_Of_Date
EMP001,Sonia Hassan,HR,POS-001,HR Manager,Lead/Manager,140,11.7,18.7,14.2,5.9,34,7,Yes,No,3.9,13,84.4,97.7,DEPARTMENT-001,Corporate Services,ORGANIZATIONAL-UNIT-HR,LOC-HQ,COST-CENTER-HR,2026-08-01
EMP002,Bilal Aziz,Sales,POS-002,Senior Sales Executive,Mid,37,3.1,6.4,5.1,1.9,14,4,Yes,Yes,0.0,4,89.3,98.4,DEPARTMENT-003,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-03,LOC-NORTH,COST-CENTER-SAL,2026-08-01
EMP003,Kamran Ali,Finance,POS-003,Financial Analyst,Mid,14,1.2,3.4,2.6,1.0,12,2,Yes,No,0.0,3,91.3,96.8,DEPARTMENT-002,Corporate Services,ORGANIZATIONAL-UNIT-FIN-TEAM-01,LOC-HQ,COST-CENTER-FIN,2026-08-01
EMP004,Ali Masood,Finance,POS-004,Financial Analyst,Mid,39,3.2,5.3,4.2,2.1,15,4,Yes,Yes,0.0,3,91.6,98.7,DEPARTMENT-002,Corporate Services,ORGANIZATIONAL-UNIT-FIN-TEAM-02,LOC-HQ,COST-CENTER-FIN,2026-08-01
EMP005,Farhan Shah,Engineering,POS-005,Junior Software Engineer,Junior,16,1.3,1.6,1.3,1.1,2,1,No,No,0.0,0,78.6,80.1,DEPARTMENT-005,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG-TEAM-03,LOC-HQ,COST-CENTER-ENG,2026-08-01
EMP006,Sehrish Tariq,Engineering,POS-006,Software Engineer,Mid,64,5.3,9.1,6.8,3.2,18,6,No,Yes,0.0,6,85.4,97.8,DEPARTMENT-005,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG-TEAM-01,LOC-HQ,COST-CENTER-ENG,2026-08-01
EMP007,Sonia Ahmad,Customer Support,POS-007,Support Executive,Junior,34,2.8,4.3,3.9,1.7,9,2,No,Yes,0.0,2,81.8,97.3,DEPARTMENT-004,Commercial Services,ORGANIZATIONAL-UNIT-CS-TEAM-02,LOC-CENTRAL,COST-CENTER-CS,2026-08-01
EMP008,Iqra Bashir,Finance,POS-008,Finance Manager,Lead/Manager,145,12.1,21.3,15.5,2.0,34,8,Yes,Yes,4.9,5,81.2,97.2,DEPARTMENT-002,Corporate Services,ORGANIZATIONAL-UNIT-FIN,LOC-HQ,COST-CENTER-FIN,2026-08-01
EMP009,Hassan Dar,Customer Support,POS-009,Customer Support Manager,Lead/Manager,162,13.5,19.3,14.2,3.1,39,10,Yes,No,6.9,9,84.2,97.6,DEPARTMENT-004,Commercial Services,ORGANIZATIONAL-UNIT-CS,LOC-CENTRAL,COST-CENTER-CS,2026-08-01
EMP010,Salman Shah,Engineering,POS-010,Senior Software Engineer,Senior,50,4.2,10.3,8.2,2.7,23,4,No,Yes,2.3,5,89.4,98.4,DEPARTMENT-005,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG-TEAM-02,LOC-HQ,COST-CENTER-ENG,2026-08-01
