Employee_ID,Employee_Name,Department_ID,Department_Name,Business_Unit,Organizational_Unit_ID,Work_Location_ID,Position_ID,Position_Title,Job_Level,Employment_Type,Employee_Status_Source,Manager_Employee_ID,Hire_Date,Date_of_Birth_Synthetic,Age_As_Of_Date,Planned_Retirement_Date,Retirement_Status,Probation_Start_Date,Probation_Original_End_Date,Probation_Current_End_Date,Probation_Standard_Months,Probation_Extension_Count,Probation_Operational_Status,Probation_Confirmation_Date,Probation_Recommendation,Contract_Current_Start_Date,Contract_Current_End_Date,Contract_Term_Months,Contract_Renewal_Count,Contract_Operational_Status,Promotion_Eligibility_Score,Transfer_Readiness_Score,Performance_Score,Performance_Trend,Attendance_Percentage,Engagement_Score,Attrition_Label_Reference,Current_Notice_Type,Current_Notice_Effective_Date,Operational_Data_Source,Data_As_Of_Date,Rehire_Count,Last_Rehire_Date,Rehire_Last_Reason,Contract_End_Decision,Contract_End_Effective_Date,Final_Settlement_Status,Final_Settlement_Due_Date,Final_Settlement_Action_Record_ID,Acting_Charge_Status,Acting_Target_Position_ID,Acting_Charge_End_Date,Demotion_Status,Demotion_Target_Position_ID,Demotion_Effective_Date,Secondment_Status,Secondment_To_Department_ID,Secondment_Target_Position_ID,Secondment_Expected_Return_Date,Resignation_Withdrawal_Count,Last_Resignation_Withdrawal_Date,Employee_Status_Operational,Operational_Department_ID,Operational_Department_Name,Operational_Business_Unit,Operational_Organizational_Unit_ID,Operational_Work_Location_ID,Operational_Position_ID,Operational_Position_Title,Operational_Job_Level,Operational_Employment_Type,Operational_Manager_Employee_ID,Operational_State_Updated_At,Last_Action_Record_ID,Last_Action_Process_Code
EMP001,Sonia Hassan,DEPARTMENT-001,HR,Corporate Services,ORGANIZATIONAL-UNIT-HR,LOC-HQ,POS-001,HR Manager,Lead/Manager,Permanent,Active,EMP201,2014-12-01,1985-04-20,41,2045-04-20,NOT_DUE,2014-12-01,2015-03-01,2015-03-01,3,0,CONFIRMED,2015-03-11,COMPLETED,,,,,,78.9,91.0,80.07,Stable,100.0,3.7,Yes,NONE,,Additive synthetic operational layer based on existing 720-employee data,2026-08-01,0,,,NONE,,NONE,,,NONE,,,NONE,,,NONE,,,,0,,Active,DEPARTMENT-001,HR,Corporate Services,ORGANIZATIONAL-UNIT-HR,LOC-HQ,POS-001,HR Manager,Lead/Manager,Permanent,EMP201,,,
EMP002,Bilal Aziz,DEPARTMENT-003,Sales,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-03,LOC-NORTH,POS-002,Account Manager,Mid,Permanent,Active,EMP166,2023-07-01,1994-01-06,32,2054-01-06,NOT_DUE,2023-07-01,2023-10-01,2023-10-01,3,0,CONFIRMED,2023-09-29,COMPLETED,,,,,,82.3,88.8,87.79,Stable,100.0,5.0,No,NONE,,Additive synthetic operational layer based on existing 720-employee data,2026-08-01,0,,,NONE,,NONE,,,NONE,,,NONE,,,NONE,,,,0,,Active,DEPARTMENT-003,Sales,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-03,LOC-NORTH,POS-002,Account Manager,Mid,Permanent,EMP166,,,
EMP003,Kamran Ali,DEPARTMENT-002,Finance,Corporate Services,ORGANIZATIONAL-UNIT-FIN-TEAM-01,LOC-HQ,POS-003,Financial Analyst,Mid,Permanent,Active,EMP230,2025-06-01,1996-10-26,29,2056-10-26,NOT_DUE,2025-06-01,2025-09-01,2025-09-01,3,0,CONFIRMED,2025-09-08,COMPLETED,,,,,,80.7,82.6,90.85,Stable,96.9,3.8,No,NONE,,Additive synthetic operational layer based on existing 720-employee data,2026-08-01,0,,,NONE,,NONE,,,NONE,,,NONE,,,NONE,,,,0,,Active,DEPARTMENT-002,Finance,Corporate Services,ORGANIZATIONAL-UNIT-FIN-TEAM-01,LOC-HQ,POS-003,Financial Analyst,Mid,Permanent,EMP230,,,
EMP004,Ali Masood,DEPARTMENT-002,Finance,Corporate Services,ORGANIZATIONAL-UNIT-FIN-TEAM-02,LOC-HQ,POS-004,Financial Analyst,Mid,Permanent,Active,EMP231,2023-05-01,1997-08-05,28,2057-08-05,NOT_DUE,2023-05-01,2023-08-01,2023-08-01,3,0,CONFIRMED,2023-07-28,COMPLETED,,,,,,81.3,79.6,90.78,Stable,96.9,3.3,Yes,NONE,,Additive synthetic operational layer based on existing 720-employee data,2026-08-01,0,,,NONE,,NONE,,,NONE,,,NONE,,,NONE,,,,0,,Active,DEPARTMENT-002,Finance,Corporate Services,ORGANIZATIONAL-UNIT-FIN-TEAM-02,LOC-HQ,POS-004,Financial Analyst,Mid,Permanent,EMP231,,,
EMP005,Farhan Shah,DEPARTMENT-005,Engineering,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG-TEAM-03,LOC-HQ,POS-005,Software Engineer I,Junior,Permanent,Active,EMP159,2025-04-01,1999-01-14,27,2059-01-14,NOT_DUE,2025-04-01,2025-07-01,2025-07-01,3,0,CONFIRMED,2025-06-30,COMPLETED,,,,,,45.8,26.0,74.56,Stable,98.4,3.0,Yes,NONE,,Additive synthetic operational layer based on existing 720-employee data,2026-08-01,0,,,NONE,,NONE,,,NONE,,,NONE,,,NONE,,,,0,,Active,DEPARTMENT-005,Engineering,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG-TEAM-03,LOC-HQ,POS-005,Software Engineer I,Junior,Permanent,EMP159,,,
EMP006,Sehrish Tariq,DEPARTMENT-005,Engineering,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG-TEAM-01,LOC-HQ,POS-006,Software Engineer II,Mid,Permanent,Active,EMP195,2021-04-01,1991-07-17,35,2051-07-17,NOT_DUE,2021-04-01,2021-07-01,2021-07-01,3,0,CONFIRMED,2021-07-15,COMPLETED,,,,,,73.2,70.2,86.35,Stable,96.9,2.8,Yes,NONE,,Additive synthetic operational layer based on existing 720-employee data,2026-08-01,0,,,NONE,,NONE,,,NONE,,,NONE,,,NONE,,,,0,,Active,DEPARTMENT-005,Engineering,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG-TEAM-01,LOC-HQ,POS-006,Software Engineer II,Mid,Permanent,EMP195,,,
EMP007,Sonia Ahmad,DEPARTMENT-004,Customer Support,Commercial Services,ORGANIZATIONAL-UNIT-CS-TEAM-02,LOC-CENTRAL,POS-007,Customer Support Representative,Junior,Contract,Active,EMP262,2023-10-01,1995-01-24,31,2055-01-24,NOT_DUE,2023-10-01,2024-01-01,2024-01-01,3,0,CONFIRMED,2023-12-31,COMPLETED,2025-10-01,2026-09-30,12,2,EXPIRING_90D,70.6,73.4,82.59,Stable,100.0,4.1,No,NONE,,Additive synthetic operational layer based on existing 720-employee data,2026-08-01,0,,,NONE,,NONE,,,NONE,,,NONE,,,NONE,,,,0,,Active,DEPARTMENT-004,Customer Support,Commercial Services,ORGANIZATIONAL-UNIT-CS-TEAM-02,LOC-CENTRAL,POS-007,Customer Support Representative,Junior,Contract,EMP262,,,
EMP008,Iqra Bashir,DEPARTMENT-002,Finance,Corporate Services,ORGANIZATIONAL-UNIT-FIN,LOC-HQ,POS-008,Finance Manager,Lead/Manager,Permanent,Active,EMP227,2014-07-01,1978-01-23,48,2038-01-23,NOT_DUE,2014-07-01,2014-10-01,2014-10-01,3,0,CONFIRMED,2014-09-29,COMPLETED,,,,,,68.2,77.0,78.32,Stable,100.0,4.2,No,NONE,,Additive synthetic operational layer based on existing 720-employee data,2026-08-01,0,,,NONE,,NONE,,,NONE,,,NONE,,,NONE,,,,0,,Active,DEPARTMENT-002,Finance,Corporate Services,ORGANIZATIONAL-UNIT-FIN,LOC-HQ,POS-008,Finance Manager,Lead/Manager,Permanent,EMP227,,,
EMP009,Hassan Dar,DEPARTMENT-004,Customer Support,Commercial Services,ORGANIZATIONAL-UNIT-CS,LOC-CENTRAL,POS-009,Customer Support Manager,Lead/Manager,Permanent,Active,EMP259,2013-02-01,1980-05-15,46,2040-05-15,NOT_DUE,2013-02-01,2013-05-01,2013-05-01,3,0,CONFIRMED,2013-05-03,COMPLETED,,,,,,76.6,81.8,82.75,Stable,100.0,3.0,Yes,NONE,,Additive synthetic operational layer based on existing 720-employee data,2026-08-01,0,,,NONE,,NONE,,,NONE,,,NONE,,,NONE,,,,0,,Active,DEPARTMENT-004,Customer Support,Commercial Services,ORGANIZATIONAL-UNIT-CS,LOC-CENTRAL,POS-009,Customer Support Manager,Lead/Manager,Permanent,EMP259,,,
EMP010,Salman Shah,DEPARTMENT-005,Engineering,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG-TEAM-02,LOC-HQ,POS-010,Senior Software Engineer,Senior,Permanent,Active,EMP129,2022-06-01,1987-05-10,39,2047-05-10,NOT_DUE,2022-06-01,2022-09-01,2022-09-01,3,0,CONFIRMED,2022-09-13,COMPLETED,,,,,,79.7,90.0,85.75,Stable,98.4,3.8,No,NONE,,Additive synthetic operational layer based on existing 720-employee data,2026-08-01,0,,,NONE,,NONE,,,NONE,,,NONE,,,NONE,,,,0,,Active,DEPARTMENT-005,Engineering,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG-TEAM-02,LOC-HQ,POS-010,Senior Software Engineer,Senior,Permanent,EMP129,,,
