Learning_Record_ID,Employee_ID,Employee_Name,Department_ID,Department,Position_ID,Position_Title,Role_Band,Course_ID,Course_Name,Course_Level,Skill_ID,Skill_Name,Current_Proficiency_Level,Current_Skill_Score,Certification_Status,Learning_Status,Completion_Date,Position_Required_Skill,History_Basis,Record_Source,Is_Actual_LMS_Record,Data_As_Of_Date
LEARN-EMP631-COURSE-S095-ADV,EMP631,Noman Tariq,DEPARTMENT-015,Quality Assurance,EXEC-QAS-HEAD,Head of Quality Assurance,Manager/Head,COURSE-S095-ADV,Advanced Statistical Process Control and Continuous Improvement,Advanced,S095,Statistical Process Control,5,93.9,Certified,Completed,2025-02-15,Yes,"Derived from actual role=Manager/Head, skill proficiency=5/5, skill score=93.9, certification=Certified, skill status=Current.",DERIVED_DEMO_FROM_EXISTING_EMPLOYEE_DATA,No,2026-08-01
LEARN-EMP631-COURSE-S092-ADV,EMP631,Noman Tariq,DEPARTMENT-015,Quality Assurance,EXEC-QAS-HEAD,Head of Quality Assurance,Manager/Head,COURSE-S092-ADV,Advanced Quality Auditing and Continuous Improvement,Advanced,S092,Quality Auditing,5,100.0,Planned,Completed,2025-02-15,Yes,"Derived from actual role=Manager/Head, skill proficiency=5/5, skill score=100.0, certification=Planned, skill status=Current.",DERIVED_DEMO_FROM_EXISTING_EMPLOYEE_DATA,No,2026-08-01
LEARN-EMP631-COURSE-S022-PRC,EMP631,Noman Tariq,DEPARTMENT-015,Quality Assurance,EXEC-QAS-HEAD,Head of Quality Assurance,Manager/Head,COURSE-S022-PRC,Applied Quality Control,Practitioner,S022,Quality Control,4,76.0,Not Required,Completed,2024-03-15,Yes,"Derived from actual role=Manager/Head, skill proficiency=4/5, skill score=76.0, certification=Not Required, skill status=Current.",DERIVED_DEMO_FROM_EXISTING_EMPLOYEE_DATA,No,2026-08-01
LEARN-EMP411-COURSE-S067-ADV,EMP411,Hamza Habib,DEPARTMENT-010,Administration & Facilities,POS-401,Administration Manager,Manager/Head,COURSE-S067-ADV,Advanced Facilities Management and Decision Practice,Advanced,S067,Facilities Management,5,94.2,Not Required,Completed,2026-03-15,Yes,"Derived from actual role=Manager/Head, skill proficiency=5/5, skill score=94.2, certification=Not Required, skill status=Current.",DERIVED_DEMO_FROM_EXISTING_EMPLOYEE_DATA,No,2026-08-01
LEARN-EMP411-COURSE-S066-ADV,EMP411,Hamza Habib,DEPARTMENT-010,Administration & Facilities,POS-401,Administration Manager,Manager/Head,COURSE-S066-ADV,Advanced Office Administration and Decision Practice,Advanced,S066,Office Administration,5,90.5,Not Required,Completed,2024-08-15,Yes,"Derived from actual role=Manager/Head, skill proficiency=5/5, skill score=90.5, certification=Not Required, skill status=Current.",DERIVED_DEMO_FROM_EXISTING_EMPLOYEE_DATA,No,2026-08-01
LEARN-EMP411-COURSE-S046-ADV,EMP411,Hamza Habib,DEPARTMENT-010,Administration & Facilities,POS-401,Administration Manager,Manager/Head,COURSE-S046-ADV,Advanced Leadership for Professional Growth,Advanced,S046,Leadership,5,92.3,Certified,Completed,2025-08-15,No,"Derived from actual role=Manager/Head, skill proficiency=5/5, skill score=92.3, certification=Certified, skill status=Current.",DERIVED_DEMO_FROM_EXISTING_EMPLOYEE_DATA,No,2026-08-01
LEARN-EMP702-COURSE-S045-ADV,EMP702,Laiba Sultan,DEPARTMENT-016,Research & Development,POS-686,Research Analyst,Professional/Mid-level,COURSE-S045-ADV,Advanced Stakeholder Management for Professional Growth,Advanced,S045,Stakeholder Management,5,100.0,Certified,Completed,2024-03-15,No,"Derived from actual role=Professional/Mid-level, skill proficiency=5/5, skill score=100.0, certification=Certified, skill status=Current.",DERIVED_DEMO_FROM_EXISTING_EMPLOYEE_DATA,No,2026-08-01
LEARN-EMP702-COURSE-S049-ADV,EMP702,Laiba Sultan,DEPARTMENT-016,Research & Development,POS-686,Research Analyst,Professional/Mid-level,COURSE-S049-ADV,Advanced Data Analysis and Decision Practice,Advanced,S049,Data Analysis,4,84.8,Planned,Completed,2024-01-15,Yes,"Derived from actual role=Professional/Mid-level, skill proficiency=4/5, skill score=84.8, certification=Planned, skill status=Current.",DERIVED_DEMO_FROM_EXISTING_EMPLOYEE_DATA,No,2026-08-01
LEARN-EMP688-COURSE-S097-ADV,EMP688,Hamza Saeed,DEPARTMENT-016,Research & Development,POS-672,Senior Research Scientist,Senior/Lead,COURSE-S097-ADV,Advanced Experimental Design and Innovation Practice,Advanced,S097,Experimental Design,5,97.0,Not Required,Completed,2025-08-15,Yes,"Derived from actual role=Senior/Lead, skill proficiency=5/5, skill score=97.0, certification=Not Required, skill status=Current.",DERIVED_DEMO_FROM_EXISTING_EMPLOYEE_DATA,No,2026-08-01
LEARN-EMP688-COURSE-S049-ADV,EMP688,Hamza Saeed,DEPARTMENT-016,Research & Development,POS-672,Senior Research Scientist,Senior/Lead,COURSE-S049-ADV,Advanced Data Analysis and Decision Practice,Advanced,S049,Data Analysis,5,96.7,Not Required,Completed,2025-01-15,Yes,"Derived from actual role=Senior/Lead, skill proficiency=5/5, skill score=96.7, certification=Not Required, skill status=Current.",DERIVED_DEMO_FROM_EXISTING_EMPLOYEE_DATA,No,2026-08-01
LEARN-EMP333-COURSE-S054-PRC,EMP333,Bilal Zafar,DEPARTMENT-008,Medical Care,POS-325,Medical Officer,Professional/Mid-level,COURSE-S054-PRC,Applied Clinical Assessment in Clinical Practice,Practitioner,S054,Clinical Assessment,3,78.9,Certified,Completed,2025-04-15,Yes,"Derived from actual role=Professional/Mid-level, skill proficiency=3/5, skill score=78.9, certification=Certified, skill status=Current.",DERIVED_DEMO_FROM_EXISTING_EMPLOYEE_DATA,No,2026-08-01
LEARN-EMP333-COURSE-S058-ADV,EMP333,Bilal Zafar,DEPARTMENT-008,Medical Care,POS-325,Medical Officer,Professional/Mid-level,COURSE-S058-ADV,Advanced Infection Prevention and Patient Safety,Advanced,S058,Infection Prevention,4,93.4,Planned,Completed,2025-01-15,Yes,"Derived from actual role=Professional/Mid-level, skill proficiency=4/5, skill score=93.4, certification=Planned, skill status=Current.",DERIVED_DEMO_FROM_EXISTING_EMPLOYEE_DATA,No,2026-08-01
LEARN-EMP283-COURSE-S021-ADV,EMP283,Komal Baig,DEPARTMENT-006,Operations,POS-277,Senior Operations Officer,Senior/Lead,COURSE-S021-ADV,Advanced Process Improvement and Decision Practice,Advanced,S021,Process Improvement,5,100.0,Certified,Completed,2024-04-15,Yes,"Derived from actual role=Senior/Lead, skill proficiency=5/5, skill score=100.0, certification=Certified, skill status=Current.",DERIVED_DEMO_FROM_EXISTING_EMPLOYEE_DATA,No,2026-08-01
LEARN-EMP283-COURSE-S019-FND,EMP283,Komal Baig,DEPARTMENT-006,Operations,POS-277,Senior Operations Officer,Senior/Lead,COURSE-S019-FND,Process Management Fundamentals,Foundation,S019,Process Management,3,66.3,Certified,Completed,2026-06-15,Yes,"Derived from actual role=Senior/Lead, skill proficiency=3/5, skill score=66.3, certification=Certified, skill status=Current.",DERIVED_DEMO_FROM_EXISTING_EMPLOYEE_DATA,No,2026-08-01
LEARN-EMP044-COURSE-S026-PRC,EMP044,Hafsa Khan,DEPARTMENT-002,Finance,POS-044,Financial Analyst,Professional/Mid-level,COURSE-S026-PRC,Applied Accounting & Reconciliation,Practitioner,S026,Accounting & Reconciliation,4,75.9,Not Required,Completed,2026-02-15,Yes,"Derived from actual role=Professional/Mid-level, skill proficiency=4/5, skill score=75.9, certification=Not Required, skill status=Verified.",DERIVED_DEMO_FROM_EXISTING_EMPLOYEE_DATA,No,2026-08-01
LEARN-EMP044-COURSE-S025-PRC,EMP044,Hafsa Khan,DEPARTMENT-002,Finance,POS-044,Financial Analyst,Professional/Mid-level,COURSE-S025-PRC,Applied Financial Analysis,Practitioner,S025,Financial Analysis,4,70.7,Certification Planned,Completed,2024-08-15,Yes,"Derived from actual role=Professional/Mid-level, skill proficiency=4/5, skill score=70.7, certification=Certification Planned, skill status=Verified.",DERIVED_DEMO_FROM_EXISTING_EMPLOYEE_DATA,No,2026-08-01
LEARN-EMP171-COURSE-S050-ADV,EMP171,Usman Ullah,DEPARTMENT-007,IT,POS-171,IT Operations Manager,Manager/Head,COURSE-S050-ADV,Advanced Project Management for Professional Growth,Advanced,S050,Project Management,5,87.7,Certified,Completed,2025-02-15,Yes,"Derived from actual role=Manager/Head, skill proficiency=5/5, skill score=87.7, certification=Certified, skill status=Developing.",DERIVED_DEMO_FROM_EXISTING_EMPLOYEE_DATA,No,2026-08-01
LEARN-EMP171-COURSE-S045-ADV,EMP171,Usman Ullah,DEPARTMENT-007,IT,POS-171,IT Operations Manager,Manager/Head,COURSE-S045-ADV,Advanced Stakeholder Management for Professional Growth,Advanced,S045,Stakeholder Management,5,89.6,Not Required,Completed,2026-07-15,Yes,"Derived from actual role=Manager/Head, skill proficiency=5/5, skill score=89.6, certification=Not Required, skill status=Verified.",DERIVED_DEMO_FROM_EXISTING_EMPLOYEE_DATA,No,2026-08-01
LEARN-EMP171-COURSE-S046-ADV,EMP171,Usman Ullah,DEPARTMENT-007,IT,POS-171,IT Operations Manager,Manager/Head,COURSE-S046-ADV,Advanced Leadership for Professional Growth,Advanced,S046,Leadership,5,88.6,Not Required,Completed,2024-02-15,Yes,"Derived from actual role=Manager/Head, skill proficiency=5/5, skill score=88.6, certification=Not Required, skill status=Developing.",DERIVED_DEMO_FROM_EXISTING_EMPLOYEE_DATA,No,2026-08-01
LEARN-EMP564-COURSE-S083-PRC,EMP564,Adnan Zafar,DEPARTMENT-013,Logistics & Warehouse,POS-551,Logistics Coordinator,Professional/Mid-level,COURSE-S083-PRC,Applied Inventory Control,Practitioner,S083,Inventory Control,4,77.4,Certified,Completed,2025-05-15,Yes,"Derived from actual role=Professional/Mid-level, skill proficiency=4/5, skill score=77.4, certification=Certified, skill status=Current.",DERIVED_DEMO_FROM_EXISTING_EMPLOYEE_DATA,No,2026-08-01
LEARN-EMP564-COURSE-S086-ADV,EMP564,Adnan Zafar,DEPARTMENT-013,Logistics & Warehouse,POS-551,Logistics Coordinator,Professional/Mid-level,COURSE-S086-ADV,Advanced Dispatch Coordination and Decision Practice,Advanced,S086,Dispatch Coordination,5,99.7,Not Required,Completed,2026-08-15,Yes,"Derived from actual role=Professional/Mid-level, skill proficiency=5/5, skill score=99.7, certification=Not Required, skill status=Current.",DERIVED_DEMO_FROM_EXISTING_EMPLOYEE_DATA,No,2026-08-01
LEARN-EMP210-COURSE-S031-ADV,EMP210,Maha Latif,DEPARTMENT-001,HR,POS-209,HR Officer,Professional/Mid-level,COURSE-S031-ADV,Advanced Recruitment & Selection and Decision Practice,Advanced,S031,Recruitment & Selection,5,100.0,Not Required,Completed,2025-05-15,Yes,"Derived from actual role=Professional/Mid-level, skill proficiency=5/5, skill score=100.0, certification=Not Required, skill status=Current.",DERIVED_DEMO_FROM_EXISTING_EMPLOYEE_DATA,No,2026-08-01
LEARN-EMP210-COURSE-S032-ADV,EMP210,Maha Latif,DEPARTMENT-001,HR,POS-209,HR Officer,Professional/Mid-level,COURSE-S032-ADV,Advanced HRIS & Employee Data and Decision Practice,Advanced,S032,HRIS & Employee Data,5,94.9,Not Required,Completed,2024-08-15,Yes,"Derived from actual role=Professional/Mid-level, skill proficiency=5/5, skill score=94.9, certification=Not Required, skill status=Current.",DERIVED_DEMO_FROM_EXISTING_EMPLOYEE_DATA,No,2026-08-01
