Employee_ID,Employee_Name,Department,Position_ID,Job_Level,Assessment_Period,KPI_Achievement_pct,Performance_Trend_6M,Productivity_Score,Goal_Completion_Score,Manager_Rating,Teamwork_Score,Quality_Score,Learning_Agility_Score,Performance_Score,Performance_Band,Promotion_Readiness,Department_ID,Business_Unit,Organizational_Unit_ID,Work_Location_ID,Cost_Center_ID,Data_As_Of_Date
EMP001,Sonia Hassan,HR,POS-001,Lead/Manager,Latest 6 Months,100.1,0.5,99.0,95.1,3.4,85.0,85.0,74.7,85.9,Strong,Successor / Lateral Pool,DEPARTMENT-001,Corporate Services,ORGANIZATIONAL-UNIT-HR,LOC-HQ,COST-CENTER-HR,2026-08-01
EMP002,Bilal Aziz,Sales,POS-002,Mid,Latest 6 Months,99.2,0.5,100.0,91.6,4.0,100.0,82.0,95.6,89.5,Exceptional,Ready Now,DEPARTMENT-003,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-03,LOC-NORTH,COST-CENTER-SAL,2026-08-01
EMP003,Kamran Ali,Finance,POS-003,Mid,Latest 6 Months,104.9,0.2,94.1,87.5,3.7,86.8,89.5,96.3,87.3,Strong,Ready Now,DEPARTMENT-002,Corporate Services,ORGANIZATIONAL-UNIT-FIN-TEAM-01,LOC-HQ,COST-CENTER-FIN,2026-08-01
EMP004,Ali Masood,Finance,POS-004,Mid,Latest 6 Months,107.0,-0.1,94.4,90.6,3.8,84.2,90.9,75.1,87.5,Strong,Ready Now,DEPARTMENT-002,Corporate Services,ORGANIZATIONAL-UNIT-FIN-TEAM-02,LOC-HQ,COST-CENTER-FIN,2026-08-01
EMP005,Farhan Shah,Engineering,POS-005,Junior,Latest 6 Months,73.1,-0.0,75.6,80.7,1.9,78.7,76.6,86.2,68.0,Meets Expectations,Developing,DEPARTMENT-005,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG-TEAM-03,LOC-HQ,COST-CENTER-ENG,2026-08-01
EMP006,Sehrish Tariq,Engineering,POS-006,Mid,Latest 6 Months,102.4,-0.5,82.0,87.1,3.0,75.6,88.4,66.0,79.6,Strong,Ready in 6-12 Months,DEPARTMENT-005,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG-TEAM-01,LOC-HQ,COST-CENTER-ENG,2026-08-01
EMP007,Sonia Ahmad,Customer Support,POS-007,Junior,Latest 6 Months,94.1,-0.0,85.1,87.4,3.1,87.5,87.5,84.6,80.8,Strong,Ready in 6-12 Months,DEPARTMENT-004,Commercial Services,ORGANIZATIONAL-UNIT-CS-TEAM-02,LOC-CENTRAL,COST-CENTER-CS,2026-08-01
EMP008,Iqra Bashir,Finance,POS-008,Lead/Manager,Latest 6 Months,84.2,0.3,96.0,84.5,3.1,92.4,88.1,89.1,81.2,Strong,Ready in 6-12 Months,DEPARTMENT-002,Corporate Services,ORGANIZATIONAL-UNIT-FIN,LOC-HQ,COST-CENTER-FIN,2026-08-01
EMP009,Hassan Dar,Customer Support,POS-009,Lead/Manager,Latest 6 Months,107.3,-0.2,94.3,100.0,4.5,75.4,97.1,76.6,90.7,Exceptional,Successor / Lateral Pool,DEPARTMENT-004,Commercial Services,ORGANIZATIONAL-UNIT-CS,LOC-CENTRAL,COST-CENTER-CS,2026-08-01
EMP010,Salman Shah,Engineering,POS-010,Senior,Latest 6 Months,97.1,-0.2,89.8,92.0,3.3,87.1,91.5,81.9,83.9,Strong,Ready in 6-12 Months,DEPARTMENT-005,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG-TEAM-02,LOC-HQ,COST-CENTER-ENG,2026-08-01
