Employee_ID,Employee_Name,Performance_Cycle_ID,Performance_Month,Department_ID,Department,Business_Unit,Position_ID,Position_Title,Job_Level,Role_Band,KPI_Count,Total_KPI_Weight_pct,Calculated_Score_Before_Rules,Critical_KPI_Breach_Flag,Final_Performance_Score,Performance_Band,Average_Evidence_Quality,Calculation_Status,Calculation_Version,Data_As_Of_Date
EMP001,Sonia Hassan,PC-2025-2026-ANNUAL,2025-09-01,DEPARTMENT-001,HR,Corporate Services,POS-001,HR Manager,Lead/Manager,Manager/Head,8,100.0,80.18,No,80.18,Strong,0.92,Completed,PERF-V1.0,2026-08-01
EMP001,Sonia Hassan,PC-2025-2026-ANNUAL,2025-10-01,DEPARTMENT-001,HR,Corporate Services,POS-001,HR Manager,Lead/Manager,Manager/Head,8,100.0,79.34,No,79.34,Meets Expectations,0.92,Completed,PERF-V1.0,2026-08-01
EMP001,Sonia Hassan,PC-2025-2026-ANNUAL,2025-11-01,DEPARTMENT-001,HR,Corporate Services,POS-001,HR Manager,Lead/Manager,Manager/Head,8,100.0,79.17,No,79.17,Meets Expectations,0.92,Completed,PERF-V1.0,2026-08-01
EMP001,Sonia Hassan,PC-2025-2026-ANNUAL,2025-12-01,DEPARTMENT-001,HR,Corporate Services,POS-001,HR Manager,Lead/Manager,Manager/Head,8,100.0,81.0,No,81.0,Strong,0.92,Completed,PERF-V1.0,2026-08-01
EMP001,Sonia Hassan,PC-2025-2026-ANNUAL,2026-01-01,DEPARTMENT-001,HR,Corporate Services,POS-001,HR Manager,Lead/Manager,Manager/Head,8,100.0,80.8,No,80.8,Strong,0.92,Completed,PERF-V1.0,2026-08-01
EMP001,Sonia Hassan,PC-2025-2026-ANNUAL,2026-02-01,DEPARTMENT-001,HR,Corporate Services,POS-001,HR Manager,Lead/Manager,Manager/Head,8,100.0,80.02,No,80.02,Strong,0.92,Completed,PERF-V1.0,2026-08-01
EMP001,Sonia Hassan,PC-2025-2026-ANNUAL,2026-03-01,DEPARTMENT-001,HR,Corporate Services,POS-001,HR Manager,Lead/Manager,Manager/Head,8,100.0,80.16,No,80.16,Strong,0.92,Completed,PERF-V1.0,2026-08-01
EMP001,Sonia Hassan,PC-2025-2026-ANNUAL,2026-04-01,DEPARTMENT-001,HR,Corporate Services,POS-001,HR Manager,Lead/Manager,Manager/Head,8,100.0,79.84,No,79.84,Meets Expectations,0.92,Completed,PERF-V1.0,2026-08-01
EMP001,Sonia Hassan,PC-2025-2026-ANNUAL,2026-05-01,DEPARTMENT-001,HR,Corporate Services,POS-001,HR Manager,Lead/Manager,Manager/Head,8,100.0,80.41,No,80.41,Strong,0.92,Completed,PERF-V1.0,2026-08-01
EMP001,Sonia Hassan,PC-2025-2026-ANNUAL,2026-06-01,DEPARTMENT-001,HR,Corporate Services,POS-001,HR Manager,Lead/Manager,Manager/Head,8,100.0,81.48,No,81.48,Strong,0.92,Completed,PERF-V1.0,2026-08-01
EMP001,Sonia Hassan,PC-2025-2026-ANNUAL,2026-07-01,DEPARTMENT-001,HR,Corporate Services,POS-001,HR Manager,Lead/Manager,Manager/Head,8,100.0,80.33,No,80.33,Strong,0.92,Completed,PERF-V1.0,2026-08-01
EMP001,Sonia Hassan,PC-2025-2026-ANNUAL,2026-08-01,DEPARTMENT-001,HR,Corporate Services,POS-001,HR Manager,Lead/Manager,Manager/Head,8,100.0,80.07,No,80.07,Strong,0.92,Completed,PERF-V1.0,2026-08-01
EMP002,Bilal Aziz,PC-2025-2026-ANNUAL,2025-09-01,DEPARTMENT-003,Sales,Commercial Services,POS-002,Account Manager,Mid,Professional/Mid-level,7,100.0,85.95,No,85.95,Strong,0.91,Completed,PERF-V1.0,2026-08-01
EMP002,Bilal Aziz,PC-2025-2026-ANNUAL,2025-10-01,DEPARTMENT-003,Sales,Commercial Services,POS-002,Account Manager,Mid,Professional/Mid-level,7,100.0,86.51,No,86.51,Strong,0.91,Completed,PERF-V1.0,2026-08-01
EMP002,Bilal Aziz,PC-2025-2026-ANNUAL,2025-11-01,DEPARTMENT-003,Sales,Commercial Services,POS-002,Account Manager,Mid,Professional/Mid-level,7,100.0,85.9,No,85.9,Strong,0.91,Completed,PERF-V1.0,2026-08-01
EMP002,Bilal Aziz,PC-2025-2026-ANNUAL,2025-12-01,DEPARTMENT-003,Sales,Commercial Services,POS-002,Account Manager,Mid,Professional/Mid-level,7,100.0,85.99,No,85.99,Strong,0.91,Completed,PERF-V1.0,2026-08-01
EMP002,Bilal Aziz,PC-2025-2026-ANNUAL,2026-01-01,DEPARTMENT-003,Sales,Commercial Services,POS-002,Account Manager,Mid,Professional/Mid-level,7,100.0,87.79,No,87.79,Strong,0.91,Completed,PERF-V1.0,2026-08-01
EMP002,Bilal Aziz,PC-2025-2026-ANNUAL,2026-02-01,DEPARTMENT-003,Sales,Commercial Services,POS-002,Account Manager,Mid,Professional/Mid-level,7,100.0,87.54,No,87.54,Strong,0.91,Completed,PERF-V1.0,2026-08-01
EMP002,Bilal Aziz,PC-2025-2026-ANNUAL,2026-03-01,DEPARTMENT-003,Sales,Commercial Services,POS-002,Account Manager,Mid,Professional/Mid-level,7,100.0,86.78,No,86.78,Strong,0.91,Completed,PERF-V1.0,2026-08-01
EMP002,Bilal Aziz,PC-2025-2026-ANNUAL,2026-04-01,DEPARTMENT-003,Sales,Commercial Services,POS-002,Account Manager,Mid,Professional/Mid-level,7,100.0,86.01,No,86.01,Strong,0.91,Completed,PERF-V1.0,2026-08-01
EMP002,Bilal Aziz,PC-2025-2026-ANNUAL,2026-05-01,DEPARTMENT-003,Sales,Commercial Services,POS-002,Account Manager,Mid,Professional/Mid-level,7,100.0,86.56,No,86.56,Strong,0.91,Completed,PERF-V1.0,2026-08-01
EMP002,Bilal Aziz,PC-2025-2026-ANNUAL,2026-06-01,DEPARTMENT-003,Sales,Commercial Services,POS-002,Account Manager,Mid,Professional/Mid-level,7,100.0,86.13,No,86.13,Strong,0.91,Completed,PERF-V1.0,2026-08-01
EMP002,Bilal Aziz,PC-2025-2026-ANNUAL,2026-07-01,DEPARTMENT-003,Sales,Commercial Services,POS-002,Account Manager,Mid,Professional/Mid-level,7,100.0,88.26,No,88.26,Strong,0.91,Completed,PERF-V1.0,2026-08-01
EMP002,Bilal Aziz,PC-2025-2026-ANNUAL,2026-08-01,DEPARTMENT-003,Sales,Commercial Services,POS-002,Account Manager,Mid,Professional/Mid-level,7,100.0,87.79,No,87.79,Strong,0.91,Completed,PERF-V1.0,2026-08-01
EMP003,Kamran Ali,PC-2025-2026-ANNUAL,2025-09-01,DEPARTMENT-002,Finance,Corporate Services,POS-003,Financial Analyst,Mid,Professional/Mid-level,7,100.0,89.85,No,89.85,Strong,0.9,Completed,PERF-V1.0,2026-08-01
EMP003,Kamran Ali,PC-2025-2026-ANNUAL,2025-10-01,DEPARTMENT-002,Finance,Corporate Services,POS-003,Financial Analyst,Mid,Professional/Mid-level,7,100.0,90.32,No,90.32,Exceptional,0.9,Completed,PERF-V1.0,2026-08-01
EMP003,Kamran Ali,PC-2025-2026-ANNUAL,2025-11-01,DEPARTMENT-002,Finance,Corporate Services,POS-003,Financial Analyst,Mid,Professional/Mid-level,7,100.0,89.82,No,89.82,Strong,0.9,Completed,PERF-V1.0,2026-08-01
EMP003,Kamran Ali,PC-2025-2026-ANNUAL,2025-12-01,DEPARTMENT-002,Finance,Corporate Services,POS-003,Financial Analyst,Mid,Professional/Mid-level,7,100.0,90.35,No,90.35,Exceptional,0.9,Completed,PERF-V1.0,2026-08-01
EMP003,Kamran Ali,PC-2025-2026-ANNUAL,2026-01-01,DEPARTMENT-002,Finance,Corporate Services,POS-003,Financial Analyst,Mid,Professional/Mid-level,7,100.0,90.07,No,90.07,Exceptional,0.9,Completed,PERF-V1.0,2026-08-01
EMP003,Kamran Ali,PC-2025-2026-ANNUAL,2026-02-01,DEPARTMENT-002,Finance,Corporate Services,POS-003,Financial Analyst,Mid,Professional/Mid-level,7,100.0,89.99,No,89.99,Strong,0.9,Completed,PERF-V1.0,2026-08-01
EMP003,Kamran Ali,PC-2025-2026-ANNUAL,2026-03-01,DEPARTMENT-002,Finance,Corporate Services,POS-003,Financial Analyst,Mid,Professional/Mid-level,7,100.0,90.45,No,90.45,Exceptional,0.9,Completed,PERF-V1.0,2026-08-01
EMP003,Kamran Ali,PC-2025-2026-ANNUAL,2026-04-01,DEPARTMENT-002,Finance,Corporate Services,POS-003,Financial Analyst,Mid,Professional/Mid-level,7,100.0,90.79,No,90.79,Exceptional,0.9,Completed,PERF-V1.0,2026-08-01
EMP003,Kamran Ali,PC-2025-2026-ANNUAL,2026-05-01,DEPARTMENT-002,Finance,Corporate Services,POS-003,Financial Analyst,Mid,Professional/Mid-level,7,100.0,89.51,No,89.51,Strong,0.9,Completed,PERF-V1.0,2026-08-01
EMP003,Kamran Ali,PC-2025-2026-ANNUAL,2026-06-01,DEPARTMENT-002,Finance,Corporate Services,POS-003,Financial Analyst,Mid,Professional/Mid-level,7,100.0,89.97,No,89.97,Strong,0.9,Completed,PERF-V1.0,2026-08-01
EMP003,Kamran Ali,PC-2025-2026-ANNUAL,2026-07-01,DEPARTMENT-002,Finance,Corporate Services,POS-003,Financial Analyst,Mid,Professional/Mid-level,7,100.0,90.39,No,90.39,Exceptional,0.9,Completed,PERF-V1.0,2026-08-01
EMP003,Kamran Ali,PC-2025-2026-ANNUAL,2026-08-01,DEPARTMENT-002,Finance,Corporate Services,POS-003,Financial Analyst,Mid,Professional/Mid-level,7,100.0,90.85,No,90.85,Exceptional,0.9,Completed,PERF-V1.0,2026-08-01
EMP004,Ali Masood,PC-2025-2026-ANNUAL,2025-09-01,DEPARTMENT-002,Finance,Corporate Services,POS-004,Financial Analyst,Mid,Professional/Mid-level,7,100.0,91.41,No,91.41,Exceptional,0.91,Completed,PERF-V1.0,2026-08-01
EMP004,Ali Masood,PC-2025-2026-ANNUAL,2025-10-01,DEPARTMENT-002,Finance,Corporate Services,POS-004,Financial Analyst,Mid,Professional/Mid-level,7,100.0,90.84,No,90.84,Exceptional,0.91,Completed,PERF-V1.0,2026-08-01
