Employee_ID,Employee_Name,Department_ID,Department,Business_Unit,Position_ID,Position_Title,Designation,Job_Level,Role_Band,Performance_Template_ID,Performance_Cycle_ID,Latest_Performance_Month,Latest_Performance_Score,Latest_Performance_Band,Average_12M_Performance_Score,Lowest_12M_Performance_Score,Highest_12M_Performance_Score,Three_Month_Change_Points,Performance_Trend,Strongest_KPI_1,Strongest_KPI_1_Score,Strongest_KPI_2,Strongest_KPI_2_Score,Development_KPI_1,Development_KPI_1_Score,Development_KPI_2,Development_KPI_2_Score,Average_Evidence_Quality,Existing_Performance_Score_Reference,Existing_Performance_Band_Reference,Review_Status,Data_As_Of_Date
EMP001,Sonia Hassan,DEPARTMENT-001,HR,Corporate Services,POS-001,HR Manager,HR Manager,Lead/Manager,Manager/Head,PT-HR-MANAGER,PC-2025-2026-ANNUAL,2026-08-01,80.07,Strong,80.23,79.17,81.48,1.06,Stable,Attendance and Punctuality,97.37,Responsibility and Deadline Discipline,91.33,Team Leadership and Development,63.38,Teamwork and Professional Communication,59.39,0.92,85.9,Strong,Calculated - Pending Manager Review,2026-08-01
EMP002,Bilal Aziz,DEPARTMENT-003,Sales,Commercial Services,POS-002,Account Manager,Senior Sales Executive,Mid,Professional/Mid-level,PT-SAL-PROFESSIONAL,PC-2025-2026-ANNUAL,2026-08-01,87.79,Strong,86.77,85.9,88.26,1.27,Stable,Sales Target Achievement,96.42,Attendance and Punctuality,95.68,Teamwork and Professional Communication,73.21,Collection Achievement,70.1,0.91,89.5,Exceptional,Calculated - Pending Manager Review,2026-08-01
EMP003,Kamran Ali,DEPARTMENT-002,Finance,Corporate Services,POS-003,Financial Analyst,Financial Analyst,Mid,Professional/Mid-level,PT-FIN-PROFESSIONAL,PC-2025-2026-ANNUAL,2026-08-01,90.85,Exceptional,90.2,89.51,90.85,0.41,Stable,Reporting and Reconciliation Target Achievement,100.0,Attendance and Punctuality,99.14,Financial Transaction and Reconciliation Accuracy,83.78,Teamwork and Professional Communication,62.81,0.9,87.3,Strong,Calculated - Pending Manager Review,2026-08-01
EMP004,Ali Masood,DEPARTMENT-002,Finance,Corporate Services,POS-004,Financial Analyst,Financial Analyst,Mid,Professional/Mid-level,PT-FIN-PROFESSIONAL,PC-2025-2026-ANNUAL,2026-08-01,90.78,Exceptional,90.79,90.26,91.41,-0.46,Stable,Reporting and Reconciliation Target Achievement,100.0,Attendance and Punctuality,96.07,Learning and Adaptability,76.33,Teamwork and Professional Communication,59.45,0.91,87.5,Strong,Calculated - Pending Manager Review,2026-08-01
EMP005,Farhan Shah,DEPARTMENT-005,Engineering,Technology and Innovation,POS-005,Software Engineer I,Junior Software Engineer,Junior,Junior/Assistant,PT-ENG-JUNIOR,PC-2025-2026-ANNUAL,2026-08-01,74.56,Meets Expectations,73.77,72.99,74.81,0.03,Stable,Attendance and Punctuality,98.23,Production Change Success Rate,81.59,Escaped Defects per Release,61.83,Teamwork and Professional Communication,54.85,0.87,68.0,Meets Expectations,Calculated - Pending Manager Review,2026-08-01
EMP006,Sehrish Tariq,DEPARTMENT-005,Engineering,Technology and Innovation,POS-006,Software Engineer II,Software Engineer,Mid,Professional/Mid-level,PT-ENG-PROFESSIONAL,PC-2025-2026-ANNUAL,2026-08-01,86.35,Strong,85.28,83.62,86.35,0.53,Stable,Attendance and Punctuality,97.15,Sprint Delivery Achievement,96.83,Learning and Adaptability,68.59,Teamwork and Professional Communication,55.24,0.9,79.6,Strong,Calculated - Pending Manager Review,2026-08-01
EMP007,Sonia Ahmad,DEPARTMENT-004,Customer Support,Commercial Services,POS-007,Customer Support Representative,Support Executive,Junior,Junior/Assistant,PT-CS-JUNIOR,PC-2025-2026-ANNUAL,2026-08-01,82.59,Strong,83.34,82.19,84.39,0.61,Stable,Attendance and Punctuality,98.99,Support SLA Compliance,89.77,First Contact Resolution and Case Quality,75.17,Teamwork and Professional Communication,62.17,0.88,80.8,Strong,Calculated - Pending Manager Review,2026-08-01
EMP008,Iqra Bashir,DEPARTMENT-002,Finance,Corporate Services,POS-008,Finance Manager,Finance Manager,Lead/Manager,Manager/Head,PT-FIN-MANAGER,PC-2025-2026-ANNUAL,2026-08-01,78.32,Meets Expectations,78.35,77.55,79.12,0.2,Stable,Attendance and Punctuality,97.53,Financial Reporting Turnaround Time,87.63,Teamwork and Professional Communication,65.6,Team Leadership and Development,61.7,0.91,81.2,Strong,Calculated - Pending Manager Review,2026-08-01
EMP009,Hassan Dar,DEPARTMENT-004,Customer Support,Commercial Services,POS-009,Customer Support Manager,Customer Support Manager,Lead/Manager,Manager/Head,PT-CS-MANAGER,PC-2025-2026-ANNUAL,2026-08-01,82.75,Strong,82.69,81.64,83.5,-0.15,Stable,Attendance and Punctuality,97.56,Responsibility and Deadline Discipline,95.22,Team Leadership and Development,67.67,Teamwork and Professional Communication,53.76,0.92,90.7,Exceptional,Calculated - Pending Manager Review,2026-08-01
EMP010,Salman Shah,DEPARTMENT-005,Engineering,Technology and Innovation,POS-010,Senior Software Engineer,Senior Software Engineer,Senior,Senior/Lead,PT-ENG-SENIOR,PC-2025-2026-ANNUAL,2026-08-01,85.75,Strong,85.69,84.62,86.63,-0.78,Stable,Attendance and Punctuality,95.68,Sprint Delivery Achievement,94.85,Mentoring and Knowledge Transfer,74.78,Teamwork and Professional Communication,63.38,0.9,83.9,Strong,Calculated - Pending Manager Review,2026-08-01
