Event_ID,Action_Record_ID,Process_Code,Employee_ID,Event_Type,Event_DateTime,Performed_By_Employee_ID,Performed_By_Name,Previous_Status,New_Status,Effect,Note,Data_As_Of_Date
HREVT-000001,HRACT-00001,PROB_CONFIRM,EMP693,RECORDED,2025-05-09T12:25,EMP201,Taha Saeed,,APPLIED,Logged,Probation completed with satisfactory review evidence.,2026-08-01
HREVT-000002,HRACT-00001,PROB_CONFIRM,EMP693,APPLIED,2025-05-10T09:00,EMP201,Taha Saeed,SCHEDULED,APPLIED,Operational state already consistent with source employee master,Seeded historical action; no source CSV was modified.,2026-08-01
HREVT-000003,HRACT-00002,PROB_CONFIRM,EMP069,RECORDED,2025-05-10T12:50,EMP001,Sonia Hassan,,APPLIED,Logged,Probation completed with satisfactory review evidence.,2026-08-01
HREVT-000004,HRACT-00002,PROB_CONFIRM,EMP069,APPLIED,2025-05-11T09:00,EMP001,Sonia Hassan,SCHEDULED,APPLIED,Operational state already consistent with source employee master,Seeded historical action; no source CSV was modified.,2026-08-01
HREVT-000005,HRACT-00003,PROB_CONFIRM,EMP525,RECORDED,2025-05-11T14:20,EMP012,Danish Masood,,APPLIED,Logged,Probation completed with satisfactory review evidence.,2026-08-01
HREVT-000006,HRACT-00003,PROB_CONFIRM,EMP525,APPLIED,2025-05-14T09:00,EMP012,Danish Masood,SCHEDULED,APPLIED,Operational state already consistent with source employee master,Seeded historical action; no source CSV was modified.,2026-08-01
HREVT-000007,HRACT-00004,PROB_CONFIRM,EMP703,RECORDED,2025-05-15T11:35,EMP087,Kashif Hameed,,APPLIED,Logged,Probation completed with satisfactory review evidence.,2026-08-01
HREVT-000008,HRACT-00004,PROB_CONFIRM,EMP703,APPLIED,2025-05-15T09:00,EMP087,Kashif Hameed,SCHEDULED,APPLIED,Operational state already consistent with source employee master,Seeded historical action; no source CSV was modified.,2026-08-01
HREVT-000009,HRACT-00005,PROB_CONFIRM,EMP065,RECORDED,2025-05-27T12:30,EMP197,Zeeshan Qureshi,,APPLIED,Logged,Probation completed with satisfactory review evidence.,2026-08-01
HREVT-000010,HRACT-00005,PROB_CONFIRM,EMP065,APPLIED,2025-05-27T09:00,EMP197,Zeeshan Qureshi,SCHEDULED,APPLIED,Operational state already consistent with source employee master,Seeded historical action; no source CSV was modified.,2026-08-01
HREVT-000011,HRACT-00006,PROB_CONFIRM,EMP707,RECORDED,2025-05-25T12:15,EMP202,Usman Hashmi,,APPLIED,Logged,Probation completed with satisfactory review evidence.,2026-08-01
HREVT-000012,HRACT-00006,PROB_CONFIRM,EMP707,APPLIED,2025-05-28T09:00,EMP202,Usman Hashmi,SCHEDULED,APPLIED,Operational state already consistent with source employee master,Seeded historical action; no source CSV was modified.,2026-08-01
HREVT-000013,HRACT-00007,PROB_CONFIRM,EMP103,RECORDED,2025-05-30T15:20,EMP203,Zainab Awan,,APPLIED,Logged,Probation completed with satisfactory review evidence.,2026-08-01
HREVT-000014,HRACT-00007,PROB_CONFIRM,EMP103,APPLIED,2025-06-02T09:00,EMP203,Zainab Awan,SCHEDULED,APPLIED,Operational state already consistent with source employee master,Seeded historical action; no source CSV was modified.,2026-08-01
HREVT-000015,HRACT-00008,PROB_CONFIRM,EMP445,RECORDED,2025-06-01T10:00,EMP066,Ali Gill,,APPLIED,Logged,Probation completed with satisfactory review evidence.,2026-08-01
HREVT-000016,HRACT-00008,PROB_CONFIRM,EMP445,APPLIED,2025-06-04T09:00,EMP066,Ali Gill,SCHEDULED,APPLIED,Operational state already consistent with source employee master,Seeded historical action; no source CSV was modified.,2026-08-01
HREVT-000017,HRACT-00009,PROB_CONFIRM,EMP181,RECORDED,2025-06-02T15:55,EMP081,Sonia Arif,,APPLIED,Logged,Probation completed with satisfactory review evidence.,2026-08-01
HREVT-000018,HRACT-00009,PROB_CONFIRM,EMP181,APPLIED,2025-06-07T09:00,EMP081,Sonia Arif,SCHEDULED,APPLIED,Operational state already consistent with source employee master,Seeded historical action; no source CSV was modified.,2026-08-01
HREVT-000019,HRACT-00010,PROB_CONFIRM,EMP150,RECORDED,2025-06-08T13:35,EMP085,Sara Yousaf,,APPLIED,Logged,Probation completed with satisfactory review evidence.,2026-08-01
HREVT-000020,HRACT-00010,PROB_CONFIRM,EMP150,APPLIED,2025-06-08T09:00,EMP085,Sara Yousaf,SCHEDULED,APPLIED,Operational state already consistent with source employee master,Seeded historical action; no source CSV was modified.,2026-08-01
HREVT-000021,HRACT-00011,PROB_CONFIRM,EMP300,RECORDED,2025-06-10T13:00,EMP201,Taha Saeed,,APPLIED,Logged,Probation completed with satisfactory review evidence.,2026-08-01
HREVT-000022,HRACT-00011,PROB_CONFIRM,EMP300,APPLIED,2025-06-11T09:00,EMP201,Taha Saeed,SCHEDULED,APPLIED,Operational state already consistent with source employee master,Seeded historical action; no source CSV was modified.,2026-08-01
HREVT-000023,HRACT-00012,PROB_CONFIRM,EMP623,RECORDED,2025-06-14T10:15,EMP001,Sonia Hassan,,APPLIED,Logged,Probation completed with satisfactory review evidence.,2026-08-01
HREVT-000024,HRACT-00012,PROB_CONFIRM,EMP623,APPLIED,2025-06-14T09:00,EMP001,Sonia Hassan,SCHEDULED,APPLIED,Operational state already consistent with source employee master,Seeded historical action; no source CSV was modified.,2026-08-01
HREVT-000025,HRACT-00013,PROB_CONFIRM,EMP179,RECORDED,2025-06-13T13:25,EMP012,Danish Masood,,APPLIED,Logged,Probation completed with satisfactory review evidence.,2026-08-01
HREVT-000026,HRACT-00013,PROB_CONFIRM,EMP179,APPLIED,2025-06-15T09:00,EMP012,Danish Masood,SCHEDULED,APPLIED,Operational state already consistent with source employee master,Seeded historical action; no source CSV was modified.,2026-08-01
HREVT-000027,HRACT-00014,PROB_CONFIRM,EMP113,RECORDED,2025-06-23T10:25,EMP087,Kashif Hameed,,APPLIED,Logged,Probation completed with satisfactory review evidence.,2026-08-01
HREVT-000028,HRACT-00014,PROB_CONFIRM,EMP113,APPLIED,2025-06-24T09:00,EMP087,Kashif Hameed,SCHEDULED,APPLIED,Operational state already consistent with source employee master,Seeded historical action; no source CSV was modified.,2026-08-01
