Employee_ID,Employee_Name,Department_ID,Department,Business_Unit,Organizational_Unit_ID,Position_ID,Position_Title,Designation,Job_Level,Career_Level,Role_Band,Management_Tier,Manager_Flag,Measurement_Scope,Performance_Template_ID,Performance_Cycle_ID,Mapping_Status,Effective_Start_Date,Effective_End_Date,Data_As_Of_Date
EMP001,Sonia Hassan,DEPARTMENT-001,HR,Corporate Services,ORGANIZATIONAL-UNIT-HR,POS-001,HR Manager,HR Manager,Lead/Manager,Management,Manager/Head,Manager/Lead,Yes,Team/Department,PT-HR-MANAGER,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP002,Bilal Aziz,DEPARTMENT-003,Sales,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-03,POS-002,Account Manager,Senior Sales Executive,Mid,Professional,Professional/Mid-level,Individual Contributor,No,Individual,PT-SAL-PROFESSIONAL,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP003,Kamran Ali,DEPARTMENT-002,Finance,Corporate Services,ORGANIZATIONAL-UNIT-FIN-TEAM-01,POS-003,Financial Analyst,Financial Analyst,Mid,Professional,Professional/Mid-level,Individual Contributor,No,Individual,PT-FIN-PROFESSIONAL,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP004,Ali Masood,DEPARTMENT-002,Finance,Corporate Services,ORGANIZATIONAL-UNIT-FIN-TEAM-02,POS-004,Financial Analyst,Financial Analyst,Mid,Professional,Professional/Mid-level,Individual Contributor,No,Individual,PT-FIN-PROFESSIONAL,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP005,Farhan Shah,DEPARTMENT-005,Engineering,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG-TEAM-03,POS-005,Software Engineer I,Junior Software Engineer,Junior,Entry Level,Junior/Assistant,Individual Contributor,No,Individual,PT-ENG-JUNIOR,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP006,Sehrish Tariq,DEPARTMENT-005,Engineering,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG-TEAM-01,POS-006,Software Engineer II,Software Engineer,Mid,Professional,Professional/Mid-level,Individual Contributor,No,Individual,PT-ENG-PROFESSIONAL,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP007,Sonia Ahmad,DEPARTMENT-004,Customer Support,Commercial Services,ORGANIZATIONAL-UNIT-CS-TEAM-02,POS-007,Customer Support Representative,Support Executive,Junior,Entry Level,Junior/Assistant,Individual Contributor,No,Individual,PT-CS-JUNIOR,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP008,Iqra Bashir,DEPARTMENT-002,Finance,Corporate Services,ORGANIZATIONAL-UNIT-FIN,POS-008,Finance Manager,Finance Manager,Lead/Manager,Management,Manager/Head,Manager/Lead,Yes,Team/Department,PT-FIN-MANAGER,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP009,Hassan Dar,DEPARTMENT-004,Customer Support,Commercial Services,ORGANIZATIONAL-UNIT-CS,POS-009,Customer Support Manager,Customer Support Manager,Lead/Manager,Management,Manager/Head,Manager/Lead,Yes,Team/Department,PT-CS-MANAGER,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP010,Salman Shah,DEPARTMENT-005,Engineering,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG-TEAM-02,POS-010,Senior Software Engineer,Senior Software Engineer,Senior,Senior Professional,Senior/Lead,Senior Individual Contributor,No,Individual + Mentoring,PT-ENG-SENIOR,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP011,Khurram Iqbal,DEPARTMENT-003,Sales,Commercial Services,ORGANIZATIONAL-UNIT-SAL,POS-011,Sales Manager,Sales Manager,Lead/Manager,Management,Manager/Head,Manager/Lead,Yes,Team/Department,PT-SAL-MANAGER,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP012,Danish Masood,DEPARTMENT-001,HR,Corporate Services,ORGANIZATIONAL-UNIT-HR,POS-012,HR Manager,HR Manager,Lead/Manager,Management,Manager/Head,Manager/Lead,Yes,Team/Department,PT-HR-MANAGER,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP013,Anum Ahmad,DEPARTMENT-001,HR,Corporate Services,ORGANIZATIONAL-UNIT-HR-TEAM-02,POS-013,HR Generalist,HR Specialist,Mid,Professional,Professional/Mid-level,Individual Contributor,No,Individual,PT-HR-PROFESSIONAL,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP014,Shahid Ali,DEPARTMENT-005,Engineering,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG-TEAM-03,POS-014,Software Engineer II,Software Engineer,Mid,Professional,Professional/Mid-level,Individual Contributor,No,Individual,PT-ENG-PROFESSIONAL,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP015,Anum Rehman,DEPARTMENT-005,Engineering,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG,POS-015,Engineering Lead,Engineering Manager,Lead/Manager,Management,Manager/Head,Manager/Lead,Yes,Team/Department,PT-ENG-MANAGER,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP016,Khurram Gill,DEPARTMENT-003,Sales,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-02,POS-016,Account Manager,Senior Sales Executive,Mid,Professional,Professional/Mid-level,Individual Contributor,No,Individual,PT-SAL-PROFESSIONAL,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP017,Amir Haider,DEPARTMENT-004,Customer Support,Commercial Services,ORGANIZATIONAL-UNIT-CS-TEAM-03,POS-017,Customer Support Representative,Support Executive,Junior,Entry Level,Junior/Assistant,Individual Contributor,No,Individual,PT-CS-JUNIOR,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP018,Sidra Tariq,DEPARTMENT-005,Engineering,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG-TEAM-01,POS-018,Software Engineer II,Software Engineer,Mid,Professional,Professional/Mid-level,Individual Contributor,No,Individual,PT-ENG-PROFESSIONAL,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP019,Hina Hussain,DEPARTMENT-007,IT,Technology and Innovation,ORGANIZATIONAL-UNIT-IT-TEAM-02,POS-019,Systems Administrator,IT Engineer,Mid,Professional,Professional/Mid-level,Individual Contributor,No,Individual,PT-IT-PROFESSIONAL,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP020,Waqas Khan,DEPARTMENT-004,Customer Support,Commercial Services,ORGANIZATIONAL-UNIT-CS-TEAM-03,POS-020,Customer Support Representative,Support Executive,Junior,Entry Level,Junior/Assistant,Individual Contributor,No,Individual,PT-CS-JUNIOR,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
