Movement_ID,Employee_ID,Employee_Name,Movement_Type,Effective_Date,From_Department_ID,From_Department_Name,To_Department_ID,To_Department_Name,From_Organizational_Unit_ID,To_Organizational_Unit_ID,From_Position_ID,To_Position_ID,Movement_Reason,Voluntary_Movement,Employee_Record_Availability,Source_System
MOVEMENT-00001,EMP168,Akbar Saleem,Transfer,2024-09-11,DEPARTMENT-004,Customer Support,DEPARTMENT-010,Administration & Facilities,ORGANIZATIONAL-UNIT-CS,ORGANIZATIONAL-UNIT-ADM,POS-168,HISTORICAL-DESTINATION-ADM-01,Business requirement,Yes,Current Employee Record,Synthetic Workforce Movement Generator
MOVEMENT-00002,EMP537,Maryam Bukhari,Transfer,2024-09-15,DEPARTMENT-012,Procurement & Supply Chain,DEPARTMENT-007,IT,ORGANIZATIONAL-UNIT-PRC,ORGANIZATIONAL-UNIT-IT,POS-525,HISTORICAL-DESTINATION-IT-01,Employee request,Yes,Current Employee Record,Synthetic Workforce Movement Generator
MOVEMENT-00003,EMP492,Hamza Javed,Transfer,2024-09-19,DEPARTMENT-011,Legal & Compliance,DEPARTMENT-010,Administration & Facilities,ORGANIZATIONAL-UNIT-LGL,ORGANIZATIONAL-UNIT-ADM,POS-481,HISTORICAL-DESTINATION-ADM-01,Career development,Yes,Current Employee Record,Synthetic Workforce Movement Generator
MOVEMENT-00004,EMP247,Maha Aslam,Transfer,2024-09-08,DEPARTMENT-002,Finance,DEPARTMENT-015,Quality Assurance,ORGANIZATIONAL-UNIT-FIN,ORGANIZATIONAL-UNIT-QAS,POS-245,HISTORICAL-DESTINATION-QAS-01,Career development,Yes,Current Employee Record,Synthetic Workforce Movement Generator
MOVEMENT-00005,EMP368,Saba Hashmi,Transfer,2024-09-20,DEPARTMENT-009,Training & Development,DEPARTMENT-006,Operations,ORGANIZATIONAL-UNIT-TRN,ORGANIZATIONAL-UNIT-OPS,POS-359,HISTORICAL-DESTINATION-OPS-01,Career development,Yes,Current Employee Record,Synthetic Workforce Movement Generator
MOVEMENT-00006,EMP152,Mahnoor Tariq,Transfer,2024-09-13,DEPARTMENT-007,IT,DEPARTMENT-006,Operations,ORGANIZATIONAL-UNIT-IT,ORGANIZATIONAL-UNIT-OPS,POS-152,HISTORICAL-DESTINATION-OPS-01,Career development,Yes,Current Employee Record,Synthetic Workforce Movement Generator
MOVEMENT-00007,EMP036,Zoya Chaudhry,Transfer,2024-09-14,DEPARTMENT-003,Sales,DEPARTMENT-011,Legal & Compliance,ORGANIZATIONAL-UNIT-SAL,ORGANIZATIONAL-UNIT-LGL,POS-036,HISTORICAL-DESTINATION-LGL-01,Business requirement,Yes,Current Employee Record,Synthetic Workforce Movement Generator
MOVEMENT-00008,EMP223,Talha Mahmood,Join,2024-09-14,,,DEPARTMENT-001,HR,,ORGANIZATIONAL-UNIT-HR,,,Approved recruitment plan,No,Current Employee Record,Synthetic Workforce Movement Generator
MOVEMENT-00009,HISTORICAL-EMPLOYEE-0001,Historical HR Employee 0001,Join,2024-09-17,,,DEPARTMENT-001,HR,,ORGANIZATIONAL-UNIT-HR,,,Internship intake,No,Historical Movement Subject,Synthetic Workforce Movement Generator
MOVEMENT-00010,HISTORICAL-EMPLOYEE-0002,Historical HR Employee 0002,Leave,2024-09-02,DEPARTMENT-001,HR,,,ORGANIZATIONAL-UNIT-HR,,,,Retirement,No,Historical Movement Subject,Synthetic Workforce Movement Generator
MOVEMENT-00011,HISTORICAL-EMPLOYEE-0003,Historical HR Employee 0003,Leave,2024-09-06,DEPARTMENT-001,HR,,,ORGANIZATIONAL-UNIT-HR,,,,Resignation,No,Historical Movement Subject,Synthetic Workforce Movement Generator
MOVEMENT-00012,HISTORICAL-EMPLOYEE-0004,Historical Finance Employee 0004,Join,2024-09-07,,,DEPARTMENT-002,Finance,,ORGANIZATIONAL-UNIT-FIN,,,Growth hiring,No,Historical Movement Subject,Synthetic Workforce Movement Generator
MOVEMENT-00013,EMP049,Sara Aslam,Join,2024-09-05,,,DEPARTMENT-003,Sales,,ORGANIZATIONAL-UNIT-SAL,,,Approved recruitment plan,No,Current Employee Record,Synthetic Workforce Movement Generator
MOVEMENT-00014,EMP182,Waqas Ahmad,Join,2024-09-12,,,DEPARTMENT-003,Sales,,ORGANIZATIONAL-UNIT-SAL,,,Approved recruitment plan,No,Current Employee Record,Synthetic Workforce Movement Generator
MOVEMENT-00015,HISTORICAL-EMPLOYEE-0005,Historical Sales Employee 0005,Join,2024-09-18,,,DEPARTMENT-003,Sales,,ORGANIZATIONAL-UNIT-SAL,,,Approved recruitment plan,No,Historical Movement Subject,Synthetic Workforce Movement Generator
MOVEMENT-00016,HISTORICAL-EMPLOYEE-0006,Historical Sales Employee 0006,Leave,2024-09-03,DEPARTMENT-003,Sales,,,ORGANIZATIONAL-UNIT-SAL,,,,Career opportunity,Yes,Historical Movement Subject,Synthetic Workforce Movement Generator
MOVEMENT-00017,HISTORICAL-EMPLOYEE-0007,Historical Sales Employee 0007,Leave,2024-09-10,DEPARTMENT-003,Sales,,,ORGANIZATIONAL-UNIT-SAL,,,,Retirement,Yes,Historical Movement Subject,Synthetic Workforce Movement Generator
MOVEMENT-00018,HISTORICAL-EMPLOYEE-0008,Historical Customer Employee 0008,Join,2024-09-03,,,DEPARTMENT-004,Customer Support,,ORGANIZATIONAL-UNIT-CS,,,Replacement hire,No,Historical Movement Subject,Synthetic Workforce Movement Generator
MOVEMENT-00019,HISTORICAL-EMPLOYEE-0009,Historical Customer Employee 0009,Join,2024-09-07,,,DEPARTMENT-004,Customer Support,,ORGANIZATIONAL-UNIT-CS,,,Growth hiring,No,Historical Movement Subject,Synthetic Workforce Movement Generator
MOVEMENT-00020,HISTORICAL-EMPLOYEE-0010,Historical Customer Employee 0010,Leave,2024-09-13,DEPARTMENT-004,Customer Support,,,ORGANIZATIONAL-UNIT-CS,,,,Career opportunity,Yes,Historical Movement Subject,Synthetic Workforce Movement Generator
MOVEMENT-00021,EMP014,Shahid Ali,Join,2024-09-25,,,DEPARTMENT-005,Engineering,,ORGANIZATIONAL-UNIT-ENG,,,Approved recruitment plan,No,Current Employee Record,Synthetic Workforce Movement Generator
MOVEMENT-00022,HISTORICAL-EMPLOYEE-0011,Historical Engineering Employee 0011,Join,2024-09-03,,,DEPARTMENT-005,Engineering,,ORGANIZATIONAL-UNIT-ENG,,,Approved recruitment plan,No,Historical Movement Subject,Synthetic Workforce Movement Generator
MOVEMENT-00023,HISTORICAL-EMPLOYEE-0012,Historical Engineering Employee 0012,Leave,2024-09-19,DEPARTMENT-005,Engineering,,,ORGANIZATIONAL-UNIT-ENG,,,,Career opportunity,Yes,Historical Movement Subject,Synthetic Workforce Movement Generator
MOVEMENT-00024,HISTORICAL-EMPLOYEE-0013,Historical Engineering Employee 0013,Leave,2024-09-09,DEPARTMENT-005,Engineering,,,ORGANIZATIONAL-UNIT-ENG,,,,Resignation,Yes,Historical Movement Subject,Synthetic Workforce Movement Generator
MOVEMENT-00025,HISTORICAL-EMPLOYEE-0014,Historical Operations Employee 0014,Leave,2024-09-22,DEPARTMENT-006,Operations,,,ORGANIZATIONAL-UNIT-OPS,,,,Contract completion,No,Historical Movement Subject,Synthetic Workforce Movement Generator
MOVEMENT-00026,HISTORICAL-EMPLOYEE-0015,Historical Operations Employee 0015,Leave,2024-09-16,DEPARTMENT-006,Operations,,,ORGANIZATIONAL-UNIT-OPS,,,,Retirement,Yes,Historical Movement Subject,Synthetic Workforce Movement Generator
MOVEMENT-00027,HISTORICAL-EMPLOYEE-0016,Historical IT Employee 0016,Join,2024-09-23,,,DEPARTMENT-007,IT,,ORGANIZATIONAL-UNIT-IT,,,Replacement hire,No,Historical Movement Subject,Synthetic Workforce Movement Generator
MOVEMENT-00028,HISTORICAL-EMPLOYEE-0017,Historical IT Employee 0017,Join,2024-09-25,,,DEPARTMENT-007,IT,,ORGANIZATIONAL-UNIT-IT,,,Replacement hire,No,Historical Movement Subject,Synthetic Workforce Movement Generator
MOVEMENT-00029,HISTORICAL-EMPLOYEE-0018,Historical IT Employee 0018,Join,2024-09-02,,,DEPARTMENT-007,IT,,ORGANIZATIONAL-UNIT-IT,,,Replacement hire,No,Historical Movement Subject,Synthetic Workforce Movement Generator
MOVEMENT-00030,HISTORICAL-EMPLOYEE-0019,Historical IT Employee 0019,Leave,2024-09-04,DEPARTMENT-007,IT,,,ORGANIZATIONAL-UNIT-IT,,,,Career opportunity,Yes,Historical Movement Subject,Synthetic Workforce Movement Generator
MOVEMENT-00031,HISTORICAL-EMPLOYEE-0020,Historical IT Employee 0020,Leave,2024-09-15,DEPARTMENT-007,IT,,,ORGANIZATIONAL-UNIT-IT,,,,Retirement,No,Historical Movement Subject,Synthetic Workforce Movement Generator
MOVEMENT-00032,HISTORICAL-EMPLOYEE-0021,Historical IT Employee 0021,Leave,2024-09-17,DEPARTMENT-007,IT,,,ORGANIZATIONAL-UNIT-IT,,,,Career opportunity,Yes,Historical Movement Subject,Synthetic Workforce Movement Generator
MOVEMENT-00033,HISTORICAL-EMPLOYEE-0022,Historical Medical Employee 0022,Join,2024-09-08,,,DEPARTMENT-008,Medical Care,,ORGANIZATIONAL-UNIT-MED,,,Replacement hire,No,Historical Movement Subject,Synthetic Workforce Movement Generator
MOVEMENT-00034,HISTORICAL-EMPLOYEE-0023,Historical Medical Employee 0023,Leave,2024-09-13,DEPARTMENT-008,Medical Care,,,ORGANIZATIONAL-UNIT-MED,,,,Resignation,Yes,Historical Movement Subject,Synthetic Workforce Movement Generator
MOVEMENT-00035,HISTORICAL-EMPLOYEE-0024,Historical Training Employee 0024,Join,2024-09-06,,,DEPARTMENT-009,Training & Development,,ORGANIZATIONAL-UNIT-TRN,,,Replacement hire,No,Historical Movement Subject,Synthetic Workforce Movement Generator
MOVEMENT-00036,HISTORICAL-EMPLOYEE-0025,Historical Administration Employee 0025,Leave,2024-09-12,DEPARTMENT-010,Administration & Facilities,,,ORGANIZATIONAL-UNIT-ADM,,,,Resignation,No,Historical Movement Subject,Synthetic Workforce Movement Generator
MOVEMENT-00037,HISTORICAL-EMPLOYEE-0026,Historical Administration Employee 0026,Leave,2024-09-13,DEPARTMENT-010,Administration & Facilities,,,ORGANIZATIONAL-UNIT-ADM,,,,Retirement,Yes,Historical Movement Subject,Synthetic Workforce Movement Generator
MOVEMENT-00038,HISTORICAL-EMPLOYEE-0027,Historical Legal Employee 0027,Join,2024-09-13,,,DEPARTMENT-011,Legal & Compliance,,ORGANIZATIONAL-UNIT-LGL,,,Growth hiring,No,Historical Movement Subject,Synthetic Workforce Movement Generator
MOVEMENT-00039,HISTORICAL-EMPLOYEE-0028,Historical Legal Employee 0028,Join,2024-09-14,,,DEPARTMENT-011,Legal & Compliance,,ORGANIZATIONAL-UNIT-LGL,,,Replacement hire,No,Historical Movement Subject,Synthetic Workforce Movement Generator
MOVEMENT-00040,HISTORICAL-EMPLOYEE-0029,Historical Legal Employee 0029,Leave,2024-09-11,DEPARTMENT-011,Legal & Compliance,,,ORGANIZATIONAL-UNIT-LGL,,,,Retirement,No,Historical Movement Subject,Synthetic Workforce Movement Generator
MOVEMENT-00041,HISTORICAL-EMPLOYEE-0030,Historical Legal Employee 0030,Leave,2024-09-09,DEPARTMENT-011,Legal & Compliance,,,ORGANIZATIONAL-UNIT-LGL,,,,Retirement,No,Historical Movement Subject,Synthetic Workforce Movement Generator
MOVEMENT-00042,HISTORICAL-EMPLOYEE-0031,Historical Procurement Employee 0031,Join,2024-09-11,,,DEPARTMENT-012,Procurement & Supply Chain,,ORGANIZATIONAL-UNIT-PRC,,,Approved recruitment plan,No,Historical Movement Subject,Synthetic Workforce Movement Generator
MOVEMENT-00043,HISTORICAL-EMPLOYEE-0032,Historical Procurement Employee 0032,Join,2024-09-12,,,DEPARTMENT-012,Procurement & Supply Chain,,ORGANIZATIONAL-UNIT-PRC,,,Replacement hire,No,Historical Movement Subject,Synthetic Workforce Movement Generator
MOVEMENT-00044,HISTORICAL-EMPLOYEE-0033,Historical Procurement Employee 0033,Join,2024-09-02,,,DEPARTMENT-012,Procurement & Supply Chain,,ORGANIZATIONAL-UNIT-PRC,,,Growth hiring,No,Historical Movement Subject,Synthetic Workforce Movement Generator
MOVEMENT-00045,HISTORICAL-EMPLOYEE-0034,Historical Procurement Employee 0034,Leave,2024-09-15,DEPARTMENT-012,Procurement & Supply Chain,,,ORGANIZATIONAL-UNIT-PRC,,,,Contract completion,No,Historical Movement Subject,Synthetic Workforce Movement Generator
MOVEMENT-00046,HISTORICAL-EMPLOYEE-0035,Historical Procurement Employee 0035,Leave,2024-09-15,DEPARTMENT-012,Procurement & Supply Chain,,,ORGANIZATIONAL-UNIT-PRC,,,,Career opportunity,Yes,Historical Movement Subject,Synthetic Workforce Movement Generator
MOVEMENT-00047,HISTORICAL-EMPLOYEE-0036,Historical Logistics Employee 0036,Join,2024-09-15,,,DEPARTMENT-013,Logistics & Warehouse,,ORGANIZATIONAL-UNIT-LOG,,,Growth hiring,No,Historical Movement Subject,Synthetic Workforce Movement Generator
MOVEMENT-00048,HISTORICAL-EMPLOYEE-0037,Historical Logistics Employee 0037,Join,2024-09-24,,,DEPARTMENT-013,Logistics & Warehouse,,ORGANIZATIONAL-UNIT-LOG,,,Approved recruitment plan,No,Historical Movement Subject,Synthetic Workforce Movement Generator
